pat_date	pat_userid	pat_num_actions
2012-10-20	14159121	11
2012-10-20	15613932	5
2012-10-20	16255965	55
2012-10-20	16396275	6
2012-10-20	17175611	6
2012-10-20	17254141	17
2012-10-20	17283576	4
2012-10-21	21834	37
2012-10-21	86247	1
2012-10-21	262675	10
2012-10-21	346148	1
2012-10-21	398051	4
2012-10-21	1046972	2
2012-10-21	1378652	3
2012-10-21	1473712	12
2012-10-21	2812627	2
2012-10-21	3080493	28
2012-10-21	3855926	2
2012-10-21	4261437	7
2012-10-21	6804626	1
2012-10-21	7304264	1
2012-10-21	9109237	1
2012-10-21	9344046	12
2012-10-21	9951654	38
2012-10-21	10440891	1
2012-10-21	10718199	1
2012-10-21	10929479	2
2012-10-21	11698331	8
2012-10-21	11916782	3
2012-10-21	12711397	1
2012-10-21	12846626	5
2012-10-21	14159121	4
2012-10-21	14596827	5
2012-10-21	15419754	5
2012-10-21	15822590	4
2012-10-21	16396275	2
2012-10-21	16682238	48
2012-10-21	17042426	2
2012-10-21	17175611	7
2012-10-21	17252003	1
2012-10-21	17599470	2
2012-10-21	17692328	14
2012-10-22	21834	40
2012-10-22	35752	2
2012-10-22	86247	1
2012-10-22	150159	1
2012-10-22	262675	4
2012-10-22	283225	6
2012-10-22	297315	1
2012-10-22	492056	2
2012-10-22	678051	2
2012-10-22	1473712	6
2012-10-22	1904640	10
2012-10-22	3167251	4
2012-10-22	3855926	8
2012-10-22	4037824	4
2012-10-22	4261437	2
2012-10-22	4850051	10
2012-10-22	4984038	2
2012-10-22	5311630	76
2012-10-22	5498907	14
2012-10-22	6282205	3
2012-10-22	6804626	46
2012-10-22	9951654	2
2012-10-22	10440891	1
2012-10-22	10539714	3
2012-10-22	10718199	3
2012-10-22	11886648	12
2012-10-22	12278600	1
2012-10-22	12846626	6
2012-10-22	13224898	16
2012-10-22	13273253	5
2012-10-22	14596827	8
2012-10-22	15064917	2
2012-10-22	15243143	32
2012-10-22	15419754	6
2012-10-22	15907342	3
2012-10-22	16000814	1
2012-10-22	16132726	5
2012-10-22	16203606	2
2012-10-22	16255965	41
2012-10-22	16396275	2
2012-10-22	16608544	44
2012-10-22	16682238	18
2012-10-22	17042426	1
2012-10-23	179697	2
2012-10-23	207616	5
2012-10-23	262675	10
2012-10-23	283225	3
2012-10-23	334887	3
